NO,Àü¿ë¸éÀû(§³),¿ù¼¼±Ý(¸¸¿ø),Ãþ_2019,Ãþ_2020,Ãþ_2021,Ãþ_2022,Ãþ_2023,°ÇÃà³âµµ,X,Y,ÃÖÁ¾ Áý°ª(¸¸¿ø)
38757.58,33.32,52.83,14.65,14.65,14.65,14.65,14.65,2008.1,126.81,37.59,23388.72
34124.74,32.54,61.38,5.79,5.79,5.79,5.79,5.79,2012.39,127.06,37.45,24370.73
39795.74,18.9,40.5,8.4,8.4,8.4,8.4,8.4,2006.77,126.98,37.55,25060.33
35429.79,32.49,111.84,0.12,0.12,0.12,0.12,0.12,2024.03,127.02,37.56,22343.31
54870.66,25.93,46.18,5.96,5.96,5.96,5.96,5.96,2010.51,126.83,37.53,31425.24
51189.66,58.63,12.17,9.92,9.92,9.92,9.92,9.92,2006.05,126.93,37.47,33467.49
45583.17,9.64,84.85,0.36,0.36,0.36,0.36,0.36,2018.38,126.89,37.54,14194.86
34356.89,55.25,2.49,5.16,5.16,5.16,5.16,5.16,2002.82,127.11,37.57,10350.21
56294.83,7.7,18.35,15.09,15.09,15.09,15.09,15.09,2014.87,127,37.56,30454.62
991.81,9.75,114.6,10.3,10.3,10.3,10.3,10.3,2010.54,126.9,37.52,22805.19
20041.01,38.88,124.03,1.89,1.89,1.89,1.89,1.89,2017.71,127,37.54,8221.72
70659.52,13.98,31.61,12.46,12.46,12.46,12.46,12.46,2006.35,126.93,37.55,32377.49
11062.66,33.91,48.8,5.28,5.28,5.28,5.28,5.28,2009.6,127.09,37.49,38251.01
69025.05,41.99,39.2,3.3,3.3,3.3,3.3,3.3,2013.41,126.98,37.52,14256.34
29119.47,32.7,85.49,4.69,4.69,4.69,4.69,4.69,2013.53,127.03,37.61,5000.46
36405.84,46.27,18.07,9.7,9.7,9.7,9.7,9.7,2014.19,127,37.48,24042.93
18729.05,26.57,39.39,11.28,11.28,11.28,11.28,11.28,2006.97,127.04,37.54,18444.39
26384.16,5.87,57.81,6.23,6.23,6.23,6.23,6.23,2016.68,126.99,37.51,15748
41188.16,7.67,0.94,10.42,10.42,10.42,10.42,10.42,2006.32,126.99,37.52,28237.89
61245.41,39.33,82.53,8.61,8.61,8.61,8.61,8.61,2002.18,127,37.54,27774.59
13158.7,54.69,10.67,6.39,6.39,6.39,6.39,6.39,2007.6,127.01,37.54,11121.93
18093.1,30.2,18.73,4.7,4.7,4.7,4.7,4.7,2016.68,127,37.58,17777.45
28514.31,34.6,30.98,6.68,6.68,6.68,6.68,6.68,2019.76,126.97,37.55,34278.23
23250.3,36.76,22.87,9.73,9.73,9.73,9.73,9.73,2020.15,127.03,37.42,34112.44
28708.1,30.22,10.06,11.77,11.77,11.77,11.77,11.77,2011.11,127,37.57,6252.16
8404.48,22.19,4.95,18.16,18.16,18.16,18.16,18.16,1999.73,126.94,37.57,34093.89
66794.02,24.48,14.34,10.1,10.1,10.1,10.1,10.1,2019.73,126.86,37.51,24685.12
29434.13,45.67,22.73,6.49,6.49,6.49,6.49,6.49,2022.25,126.86,37.59,15006.24
35716.41,17.86,17.91,9.15,9.15,9.15,9.15,9.15,1997.97,127.12,37.57,26595.05
22971.69,18.83,25.9,10.35,10.35,10.35,10.35,10.35,2022.35,126.86,37.46,30982.78
29135.27,24.38,19.63,7.94,7.94,7.94,7.94,7.94,2018.15,126.92,37.53,8453.84
38432.03,47.47,62.22,6.73,6.73,6.73,6.73,6.73,2013.7,126.97,37.55,5068.6
30285.52,58,8.29,11.92,11.92,11.92,11.92,11.92,2008.28,127.07,37.57,6805.37
43848.15,26.4,62.08,1.37,1.37,1.37,1.37,1.37,2018.5,127,37.57,7539.44
47843.66,2.09,18.94,1.52,1.52,1.52,1.52,1.52,2003.67,127,37.5,23987.93
49425.26,3.37,7.43,8.79,8.79,8.79,8.79,8.79,2000.22,126.97,37.61,26831.63
26119.87,27.76,27.42,3.73,3.73,3.73,3.73,3.73,2009.73,126.96,37.59,36916.95
58481.76,63.64,11.49,13.98,13.98,13.98,13.98,13.98,2016.37,126.97,37.55,35225.58
73904.81,45.31,43.89,8.35,8.35,8.35,8.35,8.35,2024.69,126.91,37.53,21696.27
14474.61,55.29,79.4,12.52,12.52,12.52,12.52,12.52,2019.82,126.97,37.53,3489.6
37186.18,45.42,67.31,3.38,3.38,3.38,3.38,3.38,2017.68,126.96,37.59,2486.87
32731.3,54.5,5.15,0.8,0.8,0.8,0.8,0.8,2005.98,126.84,37.54,9192.16
52838.51,43.85,122,2.03,2.03,2.03,2.03,2.03,2002.23,126.77,37.5,34598.59
32373.81,49.64,15.93,11.25,11.25,11.25,11.25,11.25,2006.02,126.97,37.52,16646.06
17578.4,7.63,55.49,20.32,20.32,20.32,20.32,20.32,2006.73,127.03,37.52,26046.59
56030.96,3.16,2.94,13.46,13.46,13.46,13.46,13.46,2015.19,127.09,37.5,14347.9
47298.53,46.66,165.89,6.25,6.25,6.25,6.25,6.25,2003.42,126.88,37.55,24817.39
