NO,단지명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),층_2023,건축년도,도로명,도로명 주소,대지위치,동_주용도,동_세부용도,X,Y,표준신주소,최종 집값(만원)_2023,층_2019,최종 집값(만원)_2019,층_2020,최종 집값(만원)_2020,층_2021,최종 집값(만원)_2021,층_2022,최종 집값(만원)_2022,id,,
8,CCRU오피스텔,전세,50.04,"32,100",0,2,2019,논현로 78,서울특별시 강남구 논현로 78,서울특별시 강남구 개포동 1229-6,업무시설," 업무시설(오피스텔 15호실), 다세대주택(20세대), 근린생활시설 ",127.04562,37.4771252,서울특별시 강남구 논현로 78,32100,4,33400,3,34700,3,35000,3,35700,유지,,93.0285
83,메트하임,월세,22,"1,000",88,12,2018,개포로 504,서울특별시 강남구 개포로 504,서울특별시 강남구 개포동 186-13,제1종근린생활시설," 근린생활시설,업무시설(오피스텔) ",127.0671907,37.4890562,서울특별시 강남구 개포로 504,20600,8,25900,16,23200,14,24900,13,24800,유지,,
102,메트하임,전세,30.02,"27,000",0,14,2018,개포로 504,서울특별시 강남구 개포로 504,서울특별시 강남구 개포동 186-13,제1종근린생활시설," 근린생활시설,업무시설(오피스텔) ",127.0671907,37.4890562,서울특별시 강남구 개포로 504,27000,14,31200,12,39100,9,32800,11,35000,유지,,
110,하우징허브럭스,전세,56.86,"40,000",0,3,2017,논현로 72,서울특별시 강남구 논현로 72,서울특별시 강남구 개포동 1229-10,업무시설,오피스텔,127.0462037,37.4765712,서울특별시 강남구 논현로 72,40000,3,39900,2,43400,4,43700,2,45600,유지,,
112,하우징허브럭스,전세,59.64,"43,050",0,3,2017,논현로 72,서울특별시 강남구 논현로 72,서울특별시 강남구 개포동 1229-10,업무시설,오피스텔,127.0462037,37.4765712,서울특별시 강남구 논현로 72,43050,2,38800,7,46700,2,39300,7,45800,유지,,
155,리체힐 신논현 오피스텔A동,전세,22.43,"25,000",0,11,2018,봉은사로 123,서울특별시 강남구 봉은사로 123,서울특별시 강남구 논현동 202-9,업무시설,업무시설(오피스텔 10실),127.0271945,37.5056373,서울특별시 강남구 봉은사로 123,25000,15,28000,5,24700,4,24900,13,29900,유지,,
165,리체힐 신논현 오피스텔A동,전세,24.88,"27,500",0,5,2018,봉은사로 123,서울특별시 강남구 봉은사로 123,서울특별시 강남구 논현동 202-9,업무시설,업무시설(오피스텔 10실),127.0271945,37.5056373,서울특별시 강남구 봉은사로 123,27500,4,25300,5,28200,4,27300,12,29700,유지,,
173,삼환 아르누보 3,전세,22.09,"20,000",0,4,2005,학동로 224,서울특별시 강남구 학동로 224,서울특별시 강남구 논현동 209,업무시설," 업무시설(오피스텔), 근린생활시설 ",127.0335389,37.5144656,서울특별시 강남구 학동로 224,20000,5,23200,5,24400,5,24400,4,22300,유지,,
187,운현오피스텔,월세,30.03,"12,000",40,10,2003,봉은사로 143,서울특별시 강남구 봉은사로 143,서울특별시 강남구 논현동 205-8,업무시설," 업무시설,근린생활시설,관광숙박시설(가족호텔) ",127.0302146,37.5064911,서울특별시 강남구 봉은사로 143,20900,10,20500,11,18100,9,15100,7,20300,유지,,
205,(908-4),전세,47.96,"57,000",0,2,2019,역삼로 408,서울특별시 강남구 역삼로 408,서울특별시 강남구 대치동 908-4,공동주택,도시형생활주택(단지형연립주택),127.051948,37.5006575,서울특별시 강남구 역삼로 408,57000,3,53900,5,57900,2,58300,3,55800,유지,,
209,CO-OP Residence/삼성역,월세,13.96,300,60,9,2004,테헤란로92길 13,서울특별시 강남구 테헤란로92길 13,서울특별시 강남구 대치동 945-29,업무시설," 오피스텔,근생 ",127.061446,37.5071489,서울특별시 강남구 테헤란로92길 13,13600,4,10200,10,13200,10,15100,9,14400,유지,,
225,대치 클래시아,월세,20.8,"1,000",130,7,2015,남부순환로 2927,서울특별시 강남구 남부순환로 2927,서울특별시 강남구 대치동 622-1,제2종근린생활시설," 근린생활시설,업무시설(오피스텔) ",127.0603593,37.4936785,서울특별시 강남구 남부순환로 2927,29900,11,33400,9,31000,10,34200,11,34200,유지,,
229,대치 클래시아,월세,30.22,"2,000",171,12,2015,남부순환로 2927,서울특별시 강남구 남부순환로 2927,서울특별시 강남구 대치동 622-1,제2종근린생활시설," 근린생활시설,업무시설(오피스텔) ",127.0603593,37.4936785,서울특별시 강남구 남부순환로 2927,40000,8,39500,9,43800,10,48500,9,47700,유지,,
232,대치 클래시아,월세,30.26,"5,000",175,6,2015,남부순환로 2927,서울특별시 강남구 남부순환로 2927,서울특별시 강남구 대치동 622-1,제2종근린생활시설," 근린생활시설,업무시설(오피스텔) ",127.0603593,37.4936785,서울특별시 강남구 남부순환로 2927,43900,11,41900,8,45100,12,45900,7,40600,유지,,
238,대치2차 아이파크,전세,21.5,"25,000",0,6,2018,영동대로85길 34,서울특별시 강남구 영동대로85길 34,서울특별시 강남구 대치동 944-21,업무시설," 업무시설,근린생활시설 ",127.0608968,37.5067481,서울특별시 강남구 영동대로85길 34,25000,9,24700,3,29300,5,26300,4,25900,유지,,
